Player_Name,Position_ID,Shots,Makes,Pass,Accuracy,Personal_Rating,Goals,Assists,Fouls,Yellow_Card,Red_Card,Years_Pro,Team_Value
Jack Peter,3,2.580000,0.640000,69.140000,68.450000,4.510000,13,6,55,14,4,12,rotation
Muslim Bolat,0,2.260000,0.610000,66.810000,89.470000,9.260000,7,18,44,3,4,13,rotation
Ibrahim Smagulov,5,3.910000,0.630000,30.880000,79.080000,5.360000,24,20,46,10,4,7,rotation
Ali Sadykov,2,2.520000,0.760000,94.940000,84.060000,8.830000,4,6,18,7,2,6,rotation
Ivan Fedorov,0,5.130000,0.670000,55.680000,49.730000,4.470000,3,14,55,4,1,4,rotation
Richard Daniel,8,2.130000,0.550000,98.640000,72.980000,4.960000,7,9,42,7,4,5,rotation
Andrei Popov,8,2.920000,0.630000,55.920000,65.350000,7.410000,2,14,64,9,2,6,rotation
Aldiyar Abdrakhmanov,10,2.190000,0.340000,102.690000,80.150000,6.760000,12,2,40,9,1,5,rotation
Scott Joshua,8,5.490000,0.560000,76.000000,46.540000,9.220000,23,13,64,1,2,7,rotation
Alexei Alekseev,0,4.780000,0.460000,54.930000,50.720000,6.100000,0,18,23,6,1,7,rotation
Leonid Nikitin,3,1.490000,0.250000,52.460000,92.080000,9.590000,9,17,42,4,1,11,rotation
Aldiyar Abdrakhmanov,9,3.330000,0.350000,65.830000,64.150000,7.370000,15,11,21,9,4,7,rotation
Ibrahim Abdrakhmanov,3,5.210000,0.270000,41.920000,56.440000,8.660000,6,5,27,9,1,14,rotation
Matvey Volkov,0,2.460000,0.410000,51.690000,97.550000,4.390000,14,22,19,3,3,11,rotation
Dmitri Kozlov,6,4.390000,0.680000,65.810000,90.960000,6.870000,12,13,53,3,1,7,main
Mark Fedorov,3,4.430000,0.270000,58.610000,71.260000,5.500000,11,9,63,7,3,2,main
Joshua Justin,2,3.660000,0.290000,107.140000,65.800000,7.500000,8,20,16,2,3,3,rotation
Ivan Smirnov,7,2.640000,0.740000,35.480000,70.510000,4.600000,6,0,49,12,4,3,rotation
Islam Ibragimov,5,2.140000,0.770000,47.380000,89.190000,6.450000,11,7,69,4,4,12,rotation
Boris Novikov,7,5.390000,0.260000,90.330000,64.410000,8.570000,20,17,45,6,2,5,superstar
Anthony Charles,4,3.280000,0.210000,11.230000,35.120000,9.780000,9,17,16,0,1,2,rotation
Aisultan Suleimenov,0,4.450000,0.730000,103.970000,95.730000,6.890000,22,23,49,5,3,2,rotation
Mark Dennis,8,0.660000,0.260000,11.140000,57.050000,7.910000,11,24,23,7,4,4,rotation
Ibrahim Serik,7,1.900000,0.420000,94.780000,84.870000,5.480000,14,6,39,1,3,2,rotation
Arsen Murat,10,2.000000,0.430000,35.330000,76.560000,4.540000,19,3,10,6,2,11,rotation
Amir Serik,5,1.680000,0.670000,35.060000,93.160000,5.320000,6,19,25,5,3,0,future
Muslim Abdrakhmanov,2,1.090000,0.550000,103.080000,45.660000,7.670000,18,6,34,0,0,1,rotation
Thomas Justin,10,5.490000,0.310000,100.430000,42.530000,8.310000,13,6,4,8,4,0,future
Erasyl Suleimenov,10,5.370000,0.770000,34.360000,50.310000,5.480000,7,2,26,11,2,11,rotation
Erasyl Sultanov,10,4.160000,0.410000,66.130000,75.160000,6.590000,3,14,30,3,2,3,rotation
Alinur Ospanov,0,2.580000,0.740000,12.210000,39.840000,4.910000,10,7,50,0,4,6,rotation
Sanzhar Ibragimov,9,1.510000,0.500000,107.250000,48.280000,6.970000,18,16,5,1,4,9,rotation
Amir Sultanov,2,3.120000,0.240000,21.740000,63.490000,7.470000,20,10,64,10,1,3,rotation
Ethan Jerry,9,5.010000,0.530000,40.630000,46.210000,7.770000,2,12,44,1,2,1,rotation
Daniel Daniel,5,1.320000,0.340000,84.050000,65.540000,4.660000,0,0,53,11,1,5,rotation
Nurislam Murat,10,4.520000,0.520000,81.400000,86.650000,4.780000,20,3,30,4,3,13,rotation
Alexei Ivanov,7,2.220000,0.380000,19.720000,50.330000,8.510000,24,9,9,8,3,6,rotation
Robert Tyler,0,1.070000,0.590000,41.980000,40.340000,7.990000,20,13,4,14,0,13,rotation
Pasha Sokolov,3,4.290000,0.260000,33.990000,43.520000,6.850000,3,8,19,5,4,6,rotation
Donald Robert,4,4.780000,0.330000,99.290000,84.430000,4.750000,11,15,34,14,3,1,rotation
Nathan Paul,4,3.090000,0.570000,35.200000,33.180000,8.720000,5,13,39,8,3,5,rotation
Aldiyar Kaliyev,3,4.780000,0.790000,46.110000,60.690000,9.490000,1,18,2,8,4,0,future
Anatoly Nikolaev,0,2.110000,0.490000,57.910000,66.920000,7.760000,8,13,18,2,0,5,rotation
Jose Kevin,2,0.700000,0.250000,40.260000,44.100000,8.320000,6,9,61,9,0,11,rotation
Rodion Pavlov,0,0.740000,0.760000,57.350000,44.870000,9.330000,9,4,35,12,3,13,rotation
Ivan Zakharov,5,3.140000,0.280000,27.670000,73.490000,9.510000,3,11,55,0,3,9,rotation
Arsen Abdrakhmanov,5,5.390000,0.300000,14.860000,92.980000,8.280000,3,1,10,5,3,4,rotation
Mikhail Zakharov,0,0.910000,0.680000,24.570000,90.210000,6.330000,14,19,40,8,3,11,rotation
Nurislam Sultanov,6,2.250000,0.370000,94.320000,55.490000,6.290000,16,6,29,0,4,11,rotation
Arsen Amangeldi,6,4.230000,0.630000,69.370000,78.050000,8.430000,20,22,11,11,4,11,superstar
Peter Daniel,5,2.690000,0.530000,101.860000,90.440000,6.460000,6,24,5,3,2,8,rotation
Matvey Egorov,0,0.930000,0.700000,28.390000,62.960000,7.180000,20,20,42,7,0,10,superstar
Igor Sokolov,0,1.900000,0.360000,33.710000,56.860000,6.060000,12,0,21,4,3,6,rotation
Amir Kusainov,10,5.010000,0.740000,29.980000,52.100000,4.380000,5,8,55,2,2,13,rotation
John Matthew,8,1.010000,0.500000,21.610000,43.700000,6.690000,4,21,32,11,2,2,rotation
Alikhan Murat,7,2.000000,0.290000,51.460000,73.940000,8.280000,24,8,53,12,1,1,rotation
Nurislam Ibraev,2,4.910000,0.330000,53.870000,59.730000,5.180000,22,12,19,1,0,2,rotation
Viktor Kuznetsov,7,4.210000,0.290000,18.300000,93.820000,6.390000,5,23,19,13,2,11,rotation
Mark Nathan,1,4.890000,0.610000,31.910000,62.110000,5.790000,14,22,50,11,3,1,rotation
Daniil Makarov,8,2.470000,0.780000,96.940000,89.480000,4.350000,16,14,53,3,1,11,rotation
Rodion Petrov,5,0.860000,0.760000,12.490000,57.800000,9.050000,10,23,59,11,3,1,rotation
Pasha Nikolaev,8,4.500000,0.430000,95.760000,85.410000,4.830000,7,14,27,14,2,1,rotation
Aaron Kevin,3,4.670000,0.490000,89.950000,73.060000,9.530000,0,20,36,8,2,10,rotation
Aleksandr Alekseev,3,1.600000,0.410000,33.640000,79.350000,9.680000,19,5,64,4,0,11,rotation
Arsen Bolat,7,5.000000,0.500000,19.550000,98.990000,9.720000,24,10,44,10,0,3,rotation
Aleksandr Volkov,7,2.650000,0.780000,16.720000,64.360000,7.510000,6,4,14,7,1,3,rotation
Luka Sokolov,2,0.900000,0.670000,77.970000,86.940000,7.050000,5,12,19,2,1,7,rotation
Matthew Anthony,2,5.330000,0.510000,87.990000,68.740000,4.420000,21,5,5,4,4,12,rotation
Ivan Ivanov,1,0.750000,0.650000,16.790000,58.820000,5.980000,9,4,24,7,1,12,rotation
Mikhail Morozov,0,1.480000,0.300000,107.240000,77.860000,8.960000,21,22,45,4,1,0,future
Nathan Henry,5,1.530000,0.570000,72.000000,78.790000,5.510000,24,19,17,5,0,8,rotation
David Ronald,9,5.110000,0.520000,52.040000,84.840000,9.180000,8,18,46,3,1,11,rotation
Joshua John,8,3.160000,0.340000,100.950000,51.680000,4.610000,14,19,62,9,3,8,rotation
Richard Ronald,4,3.550000,0.490000,77.000000,55.250000,4.440000,14,15,10,11,1,9,rotation
Alexander Alexander,0,4.810000,0.590000,29.430000,51.050000,7.940000,6,19,5,14,3,11,rotation
Dmitri Semenov,4,1.240000,0.480000,106.120000,36.900000,6.440000,21,17,65,12,2,10,rotation
Mike James,7,1.350000,0.500000,44.920000,48.080000,8.700000,17,21,56,4,2,10,rotation
Donald Steven,1,2.240000,0.690000,101.290000,61.240000,5.540000,11,19,3,9,1,13,rotation
Ivan Popov,5,0.820000,0.690000,16.840000,67.340000,6.110000,8,4,54,4,1,4,rotation
Mikhail Volkov,10,5.270000,0.350000,95.770000,80.660000,7.600000,24,13,65,10,4,0,future
Amir Sadykov,6,3.850000,0.760000,48.600000,46.130000,5.140000,14,4,5,0,2,14,rotation
Boris Novikov,3,1.590000,0.500000,86.140000,66.950000,4.080000,9,11,30,12,4,9,rotation
Jose Edward,8,5.230000,0.390000,35.980000,87.150000,4.880000,0,24,15,5,2,2,rotation
Tyler Walter,7,3.780000,0.320000,109.400000,45.850000,6.570000,3,9,35,13,4,8,rotation
Ryan Jacob,4,4.490000,0.570000,43.260000,86.060000,4.440000,2,14,2,11,4,12,rotation
